question_id,domain,question,options_json,answer,explanation,concept
1,platform,データエンジニアが customer360 というデータベースを /customer/customer360 という場所に作成する必要がある。同僚が既に作成済みかどうかは不明で、既存でもエラーにしたくない。実行すべきコマンドはどれか。,"[""CREATE DATABASE customer360 LOCATION '/customer/customer360';"",""CREATE DATABASE IF NOT EXISTS customer360;"",""CREATE DATABASE IF NOT EXISTS customer360 LOCATION '/customer/customer360'"",""CREATE DATABASE IF NOT EXISTS customer360 DELTA LOCATION '/customer/customer360'"",""CREATE DATABASE customer360 DELTA LOCATION '/customer/customer360';""]",2,既存でもエラーにしないため IF NOT EXISTS、指定パスに作るため LOCATION 句が必要。CREATE DATABASE 構文に DELTA というキーワードは存在しない。A は IF NOT EXISTS が無く既存だと失敗、B は LOCATION が無い。,DATABASE と SCHEMA は Databricks では同義語。IF NOT EXISTS は「無ければ作る」冪等な作成句で、重複作成のエラーを防ぐ。LOCATION はデータの格納場所を指定する句（省略時は所属カタログ/スキーマのマネージドロケーション）。Delta は既定のテーブル形式であり、DATABASE 作成構文にキーワードとしては現れない。
2,platform,多数のアナリストが日中に断続的にBIダッシュボードを開く。クエリへの即応（コールドスタート回避）、同時実行の自動スケール、インフラ管理不要を満たしたい。最適なコンピュートはどれか。,"[""All-purpose クラスターを1台、自動終了20分で共有する"",""ジョブクラスターをBIツールから毎回起動する"",""サーバーレス SQL ウェアハウス"",""クラシック（従来型）SQL ウェアハウスを最小サイズで常時1台"",""シングルノードの All-purpose クラスター""]",2,サーバーレス SQL ウェアハウスは起動が数秒でコールドスタートを避けられ、同時実行の自動スケールとインフラ管理不要を満たす。クラシック/プロは起動に数分かかりコールドスタート問題が残る。All-purpose/ジョブ/シングルノードはBIの同時実行に不適。,SQL ウェアハウス（旧称 SQL エンドポイント）は Databricks SQL の SQL 実行用コンピュート。種別はサーバーレス（Databricks側で管理・数秒起動・弾力的）／プロ／クラシックの順に起動が遅くなる。スケーリングは「最小〜最大クラスタ数」の範囲で、リクエストキューの予測処理時間に応じてクラスタ数が自動増減する（1クラスタのサイズ拡大とは別概念）。
3,platform,Unity Catalog で、LOCATION を明示せずにマネージドテーブルを作成した。データは物理的にどこへ格納されるか。,"[""テーブル→スキーマ→カタログ→メタストアの順で、最も近い階層に設定されたマネージドストレージの場所"",""常に DBFS ルート（dbfs:/user/hive/warehouse）"",""ドライバノードのローカルディスク"",""実行ユーザーのホームディレクトリ"",""必ずメタストアのルートのみ（下位階層の設定は無視される）""]",0,UCのマネージドテーブルは、テーブル→スキーマ→カタログ→メタストアの階層で最も近いレベルに設定されたマネージドストレージロケーションに格納される。DBFSルート固定やローカルディスク、ホームではない。,Unity Catalog は メタストア → カタログ → スキーマ → テーブル の階層。各階層に「マネージドストレージロケーション」を設定でき、マネージドテーブルはテーブルに最も近い階層の設定に格納される。マネージドテーブルはデータもUCが管理し、外部テーブル（LOCATION 明示で外部の場所を参照）と対をなす。
4,platform,多数の短時間ジョブが頻繁に起動し、そのたびのクラスター起動待ち（クラウドVM調達で数分）がボトルネックになっている。起動を高速化する最適な手段はどれか。,"[""クラスタープール（アイドルインスタンスを事前確保）を使う"",""すべてのジョブを1つの大きな常時起動クラスターに集約する"",""各ジョブのドライバをより大きいインスタンスにする"",""Photon を有効化する"",""自動終了（auto-termination）を無効化する""]",0,クラスタープールはアイドルVMを事前確保し、起動時のクラウドVM調達待ちを省いて高速化する。Photonは実行速度、ドライバ大型化や自動終了無効化は起動待ちの短縮策ではない。,クラスタープールは、待機（アイドル）状態のクラウドVMインスタンスをプールとして保持しておく機能。クラスター起動時にプールから即座にVMを割り当てるため、クラウドプロバイダのVM調達待ち（数分）を省ける。アイドルVMには Databricks の DBU 課金は発生しないが、クラウドのVM料金は発生する点に注意。
5,platform,Photon エンジンによる高速化が最も期待できる処理はどれか。,"[""Python の任意の外部ライブラリを呼び出すUDF中心の処理"",""SQL・DataFrame のネイティブ関数による集計・結合・フィルタ・書き込み"",""Scala の低レベル RDD 変換"",""ドライバ上でのシングルスレッドのループ処理"",""任意の Java UDF を多用する処理""]",1,Photon はSQL/DataFrameのネイティブ演算（集計・結合・フィルタ・書き込み等）をベクトル化して高速化する。Python/Java/Scala の UDF や RDD 低レベル処理は Photon の高速化対象外。,Photon は C++実装のベクトル化クエリ実行エンジンで、SQL/DataFrame のネイティブ演算子をまとめて処理して高速化する。ユーザー定義関数（UDF）や RDD の低レベルAPIは Photon の対象外で、その部分は通常のエンジンにフォールバックする。したがって「ネイティブ関数中心」のワークロードほど効果が大きい。
6,platform,各ワークロードに割り当てるコンピュートの組み合わせとして、コスト効率と適合性が最も良いものはどれか。,"[""本番ETL→All-purpose常時起動、対話開発→Jobクラスター、BI→シングルノード"",""本番ETL→Job（またはサーバーレスジョブ）、対話開発→All-purpose、BI→SQLウェアハウス"",""すべて All-purpose クラスターに統一する"",""本番ETL→SQLウェアハウス、対話開発→Jobクラスター、BI→Jobクラスター"",""すべてシングルノードクラスターに統一する""]",1,本番ETLはコスト効率の良いJob/サーバーレスジョブ、対話開発はAll-purpose、BI/SQLはSQLウェアハウスが定石。用途に合わないコンピュートはコスト増・性能低下を招く。,コンピュート種別の使い分け：All-purpose（汎用/対話開発、DBU単価高）、Job compute（ジョブ実行専用、実行時のみ起動しDBU単価安）、SQL ウェアハウス（BI/SQL用）、サーバーレス各種（Databricks管理・即応）。用途に合わせることでコストと性能を最適化できる。
7,ingestion,クラウドストレージ上のJSONを Auto Loader で増分取り込みし、スキーマの保存先も指定したい。正しいコードはどれか。,"[""spark.read.format('cloudFiles').option('cloudFiles.format','json').option('cloudFiles.schemaLocation', schemaPath).load(src)"",""spark.readStream.format('cloudFiles').option('cloudFiles.format','json').option('cloudFiles.schemaLocation', schemaPath).load(src)"",""spark.readStream.format('auto_loader').option('format','json').load(src)"",""spark.read.format('json').option('autoLoader','true').load(src)"",""spark.readStream.format('cloudFiles').option('format','json').load(src)""]",1,Auto Loader はストリーミング（readStream）で format を 'cloudFiles'、実ファイル形式を 'cloudFiles.format'、スキーマ保存先を 'cloudFiles.schemaLocation' に指定する。read（バッチ）や 'auto_loader'/'autoLoader'、接頭辞なしの 'format' は誤り。,Auto Loader は format('cloudFiles') で使う増分ファイル取り込み機能で、内部は Structured Streaming（readStream）。主なオプションは cloudFiles.format（実ファイル形式 json/csv/parquet 等）、cloudFiles.schemaLocation（推論スキーマの保存先）、cloudFiles.schemaEvolutionMode（スキーマ進化）。処理済みファイルを追跡し、同じディレクトリの新規ファイルだけを取り込む。
8,ingestion,S3上のParquetを既存のDeltaテーブルへ冪等に増分ロードする、正しいSQLはどれか。,"[""COPY INTO my_table FROM 's3://bucket/path' FILEFORMAT = PARQUET"",""COPY my_table FROM 's3://bucket/path' FORMAT PARQUET"",""COPY INTO my_table SELECT * FROM 's3://bucket/path'"",""LOAD DATA INTO my_table FROM 's3://bucket/path' FILEFORMAT = PARQUET"",""INSERT INTO my_table COPY FROM 's3://bucket/path'""]",0,構文は COPY INTO <table> FROM '<location>' FILEFORMAT = <format>。取り込み済みファイルを追跡して冪等に増分ロードする。COPY（INTOなし）、LOAD DATA、INSERT ... COPY は Databricks の構文ではない。,COPY INTO は SQL で冪等な増分ロードを行うコマンド。基本構文は COPY INTO <table> FROM '<location>' FILEFORMAT = <format> [FORMAT_OPTIONS (...)] [COPY_OPTIONS (...)]。既に取り込んだファイルはスキップするため、同じコマンドを再実行しても二重取り込みにならない。少量〜中量の定期バッチ向き（大量継続は Auto Loader）。
9,ingestion,1日1回、数十ファイルだけを取り込む定期バッチを、SQLで完結させたい（シンプルさ重視）。最適な方法はどれか。,"[""Auto Loader をファイル通知モードで常時ストリーミング稼働させる"",""COPY INTO"",""Structured Streaming を trigger(availableNow) で自作する"",""dbutils.fs.ls でファイル列挙し INSERT をループする"",""毎回テーブルを DROP して再作成する""]",1,少量・定期・SQL完結なら COPY INTO が最もシンプルで冪等。Auto Loader は大量・継続向けでオーバースペック。手作りループやDROP再作成は非効率・非冪等。,取り込み方式の選択基準：COPY INTO＝少量・定期・SQL完結・冪等。Auto Loader＝大量・継続・スキーマ進化が必要な場合。どちらもファイルを追跡して増分取り込みできるが、運用の複雑さとスケールで使い分ける。手作業のループやDROP再作成は冪等性・効率で劣る。
10,ingestion,本番の PostgreSQL データベースのテーブルを、変更データ（CDC）として継続的に Unity Catalog テーブルへ同期したい。最適な取り込み方法はどれか。,"[""Auto Loader（cloudFiles）でデータベースを直接読み込む"",""COPY INTO でデータベースを直接読み込む"",""Lakeflow Connect のマネージド（データベース）コネクタ"",""Delta Sharing で受信する"",""毎回 JDBC で全件読み込んで洗い替える""]",2,DBからのCDC継続同期は Lakeflow Connect のマネージドコネクタが適する。Auto Loader/COPY INTO はクラウドストレージ上のファイル用でDBは直接読めない。Delta Sharing は共有機能、全件JDBCは非効率。,Lakeflow Connect は多様なソース（SaaS、データベース等）からの取り込みを提供する機能で、標準コネクタとマネージドコネクタがある。マネージドコネクタは接続・スケジュール・CDC（変更データ取り込み）を組み込みで扱う。Auto Loader/COPY INTO はあくまでクラウドオブジェクトストレージ上のファイル向けで、DB を直接は読まない。
